gene_symbol,uniprotkb_ac
ENSG00000282278,A0A0B4J203
TRAV2,A0A0B4J234
TRAV2,A0A0B4J234
TRAV13-2,A0A0B4J235
TRAV13-2,A0A0B4J235
TRAV8-2,A0A0B4J237
TRAV8-2,A0A0B4J237
TRAV1-2,A0A0B4J238
TRAV1-2,A0A0B4J238
TRAV10,A0A0B4J240
TRAV10,A0A0B4J240
TRAV13-1,A0A0B4J241
TRAV13-1,A0A0B4J241
TRAV3,A0A0B4J244
TRAV3,A0A0B4J244
TRAV12-1,A0A0B4J245
TRAV12-1,A0A0B4J245
TRAV8-4,A0A0B4J246
TRAV1-1,A0A0B4J248
TRAV1-1,A0A0B4J248
TRAV5,A0A0B4J249
TRAV5,A0A0B4J249
TRAV8-6,A0A0B4J262
TRAV39,A0A0B4J263
TRAV39,A0A0B4J263
TRAV38-1,A0A0B4J264
TRAV38-1,A0A0B4J264
TRAV26-2,A0A0B4J265
TRAV26-2,A0A0B4J265
TRAV41,A0A0B4J266
TRAV41,A0A0B4J266
TRAV4,A0A0B4J268
TRAV4,A0A0B4J268
ENSG00000198211,A0A0B4J269
TRAV12-3,A0A0B4J271
TRAV12-3,A0A0B4J271
TRAV24,A0A0B4J272
TRAV24,A0A0B4J272
TRAV34,A0A0B4J273
TRAV34,A0A0B4J273
TRAV20,A0A0B4J274
TRAV20,A0A0B4J274
TRAV17,A0A0B4J275
TRAV17,A0A0B4J275
TRAV25,A0A0B4J276
TRAV25,A0A0B4J276
TRAV22,A0A0B4J277
TRAV22,A0A0B4J277
TRAV21,A0A0B4J279
TRAV21,A0A0B4J279
TRAV40,A0A0B4J280
TRAV40,A0A0B4J280
ENSG00000259529,A0A0B4J293
PPIAL4C,A0A0B4J2A2
IGHV3OR16-9,A0A0B4J2B5
IGHV2OR16-5,A0A0B4J2B6
IGHV2OR16-5,A0A0B4J2B6
IGHV1OR15-9,A0A0B4J2B8
IGHV1OR15-9,A0A0B4J2B8
GATD3B,A0A0B4J2D5
IGKV1D-13,A0A0B4J2D9
TRBV12-4,A0A0B4J2E0
PIGBOS1,A0A0B4J2F0
SIK1B,A0A0B4J2F2
IGHV1-69D,A0A0B4J2H0
ENSG00000282034,A0A0C4DFX4
IGKV6-21,A0A0C4DH24
IGKV6-21,A0A0C4DH24
IGKV3D-20,A0A0C4DH25
IGKV3D-20,A0A0C4DH25
IGKV6D-41,A0A0C4DH26
IGKV6D-41,A0A0C4DH26
TRGV8,A0A0C4DH27
TRGV4,A0A0C4DH28
TRGV4,A0A0C4DH28
IGHV1-3,A0A0C4DH29
IGHV3-16,A0A0C4DH30
IGHV3-16,A0A0C4DH30
IGHV1-18,A0A0C4DH31
IGHV1-18,A0A0C4DH31
IGHV3-20,A0A0C4DH32
IGHV3-20,A0A0C4DH32
IGHV1-24,A0A0C4DH33
IGHV1-24,A0A0C4DH33
IGHV4-28,A0A0C4DH34
IGHV3-35,A0A0C4DH35
IGHV3-35,A0A0C4DH35
IGHV3-38,A0A0C4DH36
IGHV3-38,A0A0C4DH36
IGHV5-51,A0A0C4DH38
IGHV5-51,A0A0C4DH38
IGHV1-58,A0A0C4DH39
IGHV4-61,A0A0C4DH41
IGHV3-66,A0A0C4DH42
IGHV3-66,A0A0C4DH42
IGHV2-70D,A0A0C4DH43
IGKV3D-7,A0A0C4DH55
IGKV3D-7,A0A0C4DH55
TRBV5-4,A0A0C4DH59
IGHJ1,A0A0C4DH62
IGHJ1,A0A0C4DH62
TRGJP,A0A0C4DH63
TRGJP,A0A0C4DH63
IGHJ4,A0A0C4DH66
IGKV1-8,A0A0C4DH67
IGKV1-8,A0A0C4DH67
IGKV2-24,A0A0C4DH68
IGKV2-24,A0A0C4DH68
IGKV1-9,A0A0C4DH69
IGKV1-9,A0A0C4DH69
IGHJ2,A0A0C4DH70
IGKV1-6,A0A0C4DH72
IGKV1-6,A0A0C4DH72
IGKV1-12,A0A0C4DH73
IGKV1-12,A0A0C4DH73
IGKV3OR2-268,A0A0C4DH90
IGKV3OR2-268,A0A0C4DH90
MT-RNR1,A0A0C5B5G6
CCDC163,A0A0D9SEU7
CCDC163,A0A0D9SF12
CCDC163,A0A0D9SF12
CCDC163,A0A0D9SFD8
CCDC163,A0A0D9SG11
ENSG00000281899,A0A0D9SG42
MUC21,A0A0G2JKD1
VARS2,A0A0G2JL52
KRTAP4-8,A0A0G2JLE6
IGHD5OR15-5A,A0A0G2JLJ8
PRAMEF33,A0A0G2JMD5
HLA-DRA,A0A0G2JMH6
KIR2DP1,A0A0G2JNF4
HNRNPCL2,A0A0G2JNQ3
PRAMEF9,A0A0G2JP20
BTNL2,A0A0G2JPB7
NLRP2,A0A0G2JPQ2
IGHJ3,A0A0J9YW14
IGHD3-9,A0A0J9YW22
IGHD3-9,A0A0J9YW22
IGHD3-3,A0A0J9YWD0
IGHD3-3,A0A0J9YWD0
IGHJ2,A0A0J9YWN2
TRBV4-1,A0A0J9YWV2
TRBV7-6,A0A0J9YX20
TRBV5-5,A0A0J9YX44
MAGEB6B,A0A0J9YX57
TRBV5-3,A0A0J9YX65
TRBV5-3,A0A0J9YX65
ENSG00000282610,A0A0J9YX75
PNMA6F,A0A0J9YX94
TRBV5-4,A0A0J9YXE9
IGHD3-10,A0A0J9YXN1
IGHD3-10,A0A0J9YXN1
PNMA6E,A0A0J9YXQ4
TRBV6-6,A0A0J9YY89
TRBV7-4,A0A0J9YYF1
TRBV6-8,A0A0J9YYI7
TRBV10-1,A0A0K0K1A3
TRBV10-1,A0A0K0K1A3
TRBV6-5,A0A0K0K1A5
