GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	O15488	GYG2	enables	GO:0008466	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.186	9606	UniProt		20201205
UniProtKB	O15488	GYG2	enables	GO:0102751	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.186	9606	UniProt		20201205
UniProtKB	O15488	GYG2	enables	GO:0008466	F	ECO:0000269	EXP	PMID:9346895		9606	Reactome		20130502
UniProtKB	O43173	ST8SIA3	enables	GO:0003828	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:106018|MGI:MGI:106019|MGI:MGI:106020|MGI:MGI:109243|PANTHER:PTN000241531|UniProtKB:O43173|UniProtKB:Q92185|UniProtKB:Q92186|UniProtKB:Q92187	9606	GO_Central		20201024
UniProtKB	O43173	ST8SIA3	enables	GO:0008373	F	ECO:0000314	IDA	PMID:26192331		9606	UniProt		20151021
UniProtKB	O43173	ST8SIA3	enables	GO:0008373	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001675|InterPro:IPR012163	9606	InterPro		20201205
UniProtKB	O43173	ST8SIA3	enables	GO:0003828	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64689|ensembl:ENSMUSP00000025477	9606	Ensembl		20201205
UniProtKB	O43173	ST8SIA3	enables	GO:0003828	F	ECO:0000314	IDA	PMID:10766765		9606	BHF-UCL		20110720
UniProtKB	O43173	ST8SIA3	enables	GO:0003828	F	ECO:0000314	IDA	PMID:9826427		9606	BHF-UCL		20110720
UniProtKB	O43286	B4GALT5	enables	GO:0008489	F	ECO:0000315	IMP	PMID:24498430		9606	UniProt		20181118
UniProtKB	O43286	B4GALT5	enables	GO:0008378	F	ECO:0000304	TAS	PMID:9597550		9606	PINC		20030904
UniProtKB	O43286	B4GALT5	enables	GO:0008489	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JMK0|ensembl:ENSMUSP00000104844	9606	Ensembl		20201205
UniProtKB	O43286	B4GALT5	enables	GO:0003945	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JMK0|ensembl:ENSMUSP00000104844	9606	Ensembl		20201205
UniProtKB	O43505	B4GAT1	enables	GO:0015020	F	ECO:0000314	IDA	PMID:25279699		9606	UniProt		20141117
UniProtKB	O43505	B4GAT1	enables	GO:0015020	F	ECO:0000314	IDA	PMID:25279697		9606	UniProt		20141117
UniProtKB	O43505	B4GAT1	enables	GO:0015020	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR043189	9606	InterPro		20201205
UniProtKB	O43825	B3GALT2	enables	GO:0008376	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000130250|WB:WBGene00000270	9606	GO_Central		20170511
